36.82,44.18,0.79
39.22,46.59,0.79
41.63,48.99,0.79
44.03,51.39,0.79
46.44,53.80,0.79
48.67,55.17,0.27
51.15,55.33,-0.26
53.22,54.22,-0.78
54.33,52.15,-1.30
54.17,49.67,-1.83
52.80,47.43,-2.35
50.40,45.03,-2.35
47.99,42.63,-2.35
45.59,40.22,-2.35
43.18,37.82,-2.35
40.94,36.45,-2.87
38.46,36.28,-3.40
36.39,37.39,-3.92
35.28,39.47,-4.45
35.45,41.94,-4.97
